#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-9413.670272,1080,644.233572
-12457.062918,1080,645.59272
-4090.970907,1080,646.197721
-19138.820588,1080,647.545527
-9572.572736,1080,648.162684
-16295.385409,1080,649.500877
-13997.888173,1080,650.104176
-13026.291763,1080,651.488535
-17791.304102,1080,652.104293
-11696.103847,1080,653.495464
-4.979604,1080,654.113907
-11204.099537,1080,655.573529
-15637.704868,1080,656.164093
-4952.632103,1080,657.511999
-28182.486399,1080,658.846198
-6790.198892,1080,659.498762
-24168.695086,1080,660.908938
-6517.492196,1080,661.531966
-13006.937673,1080,662.934959
-15018.630616,1080,663.529073
259.38618,1080,664.956667
-15142.000955,1080,665.564321
2282.529733,1080,666.906508
-15080.47363,1080,667.514641
-9669.962988,1080,668.801268
-13286.58928,1080,669.412848
-17574.370513,1080,670.759716
-36022.26057,1080,671.372958
-20690.412491,1080,672.721152
1395.343739,1080,673.338377
-31974.545441,1080,674.705972
-5040.411476,1080,675.976862
-849.066792,1080,676.64113
-22030.203653,1080,678.004859
-28569.497166,1080,678.640487
-6494.064079,1080,679.987699
-13185.406711,1080,680.581033
-17462.730779,1080,681.954727
-9504.65188,1080,682.552743
-23101.658817,1080,683.924497
-26147.730968,1080,684.532831
-8596.589993,1080,685.920927
373.953718,1080,686.525099
-6354.369721,1080,687.826484
-29352.416955,1080,688.429314
-18235.899583,1080,689.810766
-35047.571664,1080,690.429904
-29691.857897,1080,691.838183
697.65349,1080,692.451061
-19362.354702,1080,693.814561
-5506.451976,1080,695.148059
-1790.698876,1080,695.815448
-20174.092417,1080,697.175799
-22424.998972,1080,697.801928
-18820.063506,1080,699.120686
-22671.331833,1080,699.726843
-24714.552665,1080,701.137498
-23132.79848,1080,701.745989
-25214.93695,1080,703.113375
-35575.082222,1080,703.704795
-1668.411672,1080,705.038514
-35922.759031,1080,705.665027
-43864.509261,1080,707.034298
-4699.902015,1080,707.640417
-17886.961561,1080,709.033743
-1158.788989,1080,709.638768
-33721.204777,1080,711.029544
-7400.356295,1080,711.636492
-20818.022608,1080,712.965302
-8018.294141,1080,714.250922
-22474.896723,1080,714.897461
207.524983,1080,716.237065
-24027.291765,1080,716.853231
-14161.318079,1080,718.277789
-20313.788914,1080,718.88316
-25283.63369,1080,720.153009
-24546.640484,1080,720.75004
20.276553,1080,722.170111
-11250.075575,1080,722.778724
-10265.179209,1080,724.164777
-17790.907435,1080,724.758316
-24636.411257,1080,726.167693
-26183.312253,1080,726.774018
514.204009,1080,728.173869
-44029.405106,1080,728.782218
-21704.60633,1080,730.114343
-41118.400905,1080,731.453805
-14600.401991,1080,732.113044
-16248.42388,1080,733.466377
-9376.699864,1080,734.114901
-1191.728564,1080,735.471946
-26945.588869,1080,736.083992
-33088.51854,1080,737.493662
-25799.23666,1080,738.101513
-33715.930479,1080,739.498811
-27208.839623,1080,740.104871
-11752.440893,1080,741.475037
-26536.781128,1080,742.080163
-20874.364738,1080,743.449365
-33803.498166,1080,744.067077
-49341.53222,1080,745.476445
-18076.001595,1080,746.085987
-695.345295,1080,747.480935
-36199.559496,1080,748.097323
-31395.938116,1080,749.401267
-20599.809883,1080,750.67433
-26292.458234,1080,751.339313
-31987.656666,1080,752.681831
-25007.839127,1080,753.305083
-40602.909283,1080,754.696547
-25115.231974,1080,755.307461
-8839.156305,1080,756.740427
-45545.064772,1080,757.34074
-13547.497551,1080,758.668688
-37493.531248,1080,759.2744
-3874.6501,1080,760.588897
-4830.140669,1080,761.195398
-16368.167916,1080,762.522464
-28995.642614,1080,763.122642
-19463.293492,1080,764.458025
-1982.418592,1080,765.063004
-17721.086225,1080,766.434968
-27770.961916,1080,767.729704
-23658.780076,1080,768.405154
-32556.091019,1080,769.75052
-15877.236483,1080,770.379831
-31180.752766,1080,771.74405
-1092.063453,1080,772.353008
-24154.096665,1080,773.695456
-1585.135438,1080,774.295669
-33486.187699,1080,775.724106
-31223.250307,1080,776.330791
-23589.16276,1080,777.746017
-30240.291761,1080,778.355068
-30666.080542,1080,779.688602
-19054.309078,1080,780.295327
-47541.249098,1080,781.601929
-31826.035138,1080,782.201631
-31924.034022,1080,783.576383
-14931.669188,1080,784.189695
-31924.985633,1080,785.551465
-25847.255378,1080,786.870452
-19647.765105,1080,787.529664
-19478.995746,1080,788.912694
-3865.125173,1080,789.540281
-33122.428772,1080,790.869605
